Workshopname,Kategorie,Datum,Land,Location,Studio Name,URL_E,Art,Level,Beschreibung,Trainer,Uhrzeit
Strip `n Tease Workshop,Lapdance,"Samstag, 16. März 2024",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/ypg0oSy,Workshop,,"Ohne tatsächlich die Hüllen fallen zu lassen, werden Euch die Techniken der Ausziehkunst näher gebracht. Ferner widmen wir uns in dieser Stunde auch folgenden Fragen: Was bedeutet es zu „Teasen“? Und wie lässt sich das „Teasen“ mit einer Choreographie verbinden? Und welche Kleidung eignet sich am Besten für einen „Striptease“? Wir versuchen einige Kleidungsstücke auszuprobieren, deshalb bringt folgende Kleidungsstücke mit: Du zahlst nur 20 Euro für einen 60 minütigen Workshop und falls Du eine Freundin mitbringst, zahlt jede nur die Hälfte des normalen Kurspreises, also jeweils 15 Euro. Das Freundinnenangebot bitte direkt über uns buchen mit einer kurzen Email an studio@schoenheitstanz.de ",,12:30 - 13:30
Exotic Dance mit Becky*,Tanzen,"Samstag, 16. März 2024",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/EDBeHyX,Workshop,,"Exotic Dance mit Becky Der perfekte Kurs für alle Neueinsteigerinnen, für Damen die sich noch für keine Stilrichtung festlegen möchten oder diejenigen, die ein „Best of“ erleben möchten. Natürlich auch für alle unsere lieben Damen, die etwas Neues ausprobieren wollen. Exotic Dance mit Becky_ Let´s Dance and Tease Kurs – Choreographie Kurs Level: Engagierte Anfängerinnen &amp; etwas erfahrene Schönheitstänzerinnen und alle, die Lust auf eine neue sinnlich-schöne Choreo haben.",,13:45 - 15:45
Exotic Dance mit Becky* ONLINE,Tanzen,"Samstag, 16. März 2024",,Online,Schönheitstanz Studio,https://www.eversports.de/e/workshop/54itEaz,Workshop,,"Exotic Dance mit Becky Der perfekte Kurs für alle Neueinsteigerinnen, für Damen die sich noch für keine Stilrichtung festlegen möchten oder diejenigen, die ein „Best of“ erleben möchten. Natürlich auch für alle unsere lieben Damen, die etwas Neues ausprobieren wollen. Exotic Dance mit Becky_ Let´s Dance and Tease Kurs – Choreographie Kurs Level: Engagierte Anfängerinnen &amp;amp; etwas erfahrene Schönheitstänzerinnen und alle, die Lust auf eine neue sinnlich-schöne Choreo haben.",,13:45 - 15:45
Bedroom Burlesque mit Lady Lou THEMA: 1920s Moon Goddess,Burlesque,"Samstag, 16. März 2024",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/rvq2QWJ,Workshop,,"Classic Burlesque Striptease: 1920s Moon Goddess MOON DANCE 🌙We will pay tribute to the moon and all her glory with a soft elegant 1920s Moon Dance.The items you will need:Costume -Top layer: should be something soft and floaty. For example a dress, night gown, Morgenmantel, or a piece of soft fabric.Stockings: stay up stockings (without straps)Bra and Panties: any styleHigh Heels Lady Lou bringt Burlesque in Eure Schlafzimmer! Hier lernt Ihr, wie Ihr verführerisch Burlesque für eure Partner tanzt – oder für Euch selbst. „Bedroom Burlesque“ hat zum Ziel, Euch fabelhaft feminin und absolut hinreißend zu fühlen. In diesem Workshop lernt Ihr, wie man klassische Burlesque Moves, glamouröse Kostüme, luxuriöse Sextoys und softes Bondage zu einer ganz eigenen, unvergesslichen Privatvorstellung kombiniert. Wir erforschen Eure Fantasien und hauchen ihnen Leben ein! In jedem Schlafzimmer schlummert eine Burlesque Diva, die nur darauf wartet entdeckt zu werden!",,17:30 - 19:30
Bedroom Burlesque mit Lady Lou THEMA: 1920s Moon Goddess ONLINE,Burlesque,"Samstag, 16. März 2024",,Online,Schönheitstanz Studio,https://www.eversports.de/e/workshop/z4rC1sa,Workshop,,"Classic Burlesque Striptease: 1920s Moon Goddess MOON DANCE 🌙We will pay tribute to the moon and all her glory with a soft elegant 1920s Moon Dance.The items you will need:Costume -Top layer: should be something soft and floaty. For example a dress, night gown, Morgenmantel, or a piece of soft fabric.Stockings: stay up stockings (without straps)Bra and Panties: any styleHigh Heels Lady Lou bringt Burlesque in Eure Schlafzimmer! Hier lernt Ihr, wie Ihr verführerisch Burlesque für eure Partner tanzt – oder für Euch selbst. „Bedroom Burlesque“ hat zum Ziel, Euch fabelhaft feminin und absolut hinreißend zu fühlen. In diesem Workshop lernt Ihr, wie man klassische Burlesque Moves, glamouröse Kostüme, luxuriöse Sextoys und softes Bondage zu einer ganz eigenen, unvergesslichen Privatvorstellung kombiniert. Wir erforschen Eure Fantasien und hauchen ihnen Leben ein! In jedem Schlafzimmer schlummert eine Burlesque Diva, die nur darauf wartet entdeckt zu werden!",,17:30 - 19:30
Twerk Mixed,Tanzen,"Sonntag, 17. März 2024",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/AN_9D9F,Workshop,,"Twerk Mixed Twerking ist ein alter westafrikanischer Tanz, der Ähnlichkeiten zum „Mapouka Dance“ aus Cote D`Ivoire aufweist. Ähnlich wie andere afro-karibische Tänze, ist dieser Tanz ein Ausdruck des Widerstandes gegen männliche Vorgaben zur weiblichen Sexualität. Ursprünglich wurde Twerking zu afrikanischer Musik getanzt. Mittlerweile sind es Musikrichtungen wie Bounce/Crunk, Hip Hop and Trap Music. Der Begriff des „Twerking“ wurde erstmalig 1993 benutzt, als dieser Tanzstil über die Videos von Beyoncé, Rihanna oder Nicki Minaj Einzug in die Musik- und Unterhaltungsindustrie hielt. Dieser Kurs ist der perfekte Aufbau-Kurs zum Basic Workshop und für alle Ladies, die bereits Vorerfahrung im Twerking gesammelt haben. In diesem Workshop vertieft Becky* mit Euch die Grundtechniken , zeigt und übt neue Moves und stellt mit Euch die ersten tänzerischen Kombinationen zusammen. Unser neues, monatliches „Best of booty dance“ Knieschoner werden von uns gestellt, alles war Du mitbringen musst sind Deine Sneakers/Sportschuhe and your beautiful self – wir freuen uns. Hinweis: kein Anfänger-Kurs. Geeignet nach Absolvierung des Basic Kurses oder mit anderweitiger Twerking Vorerfahrung.",,13:45 - 14:45
Twerk Mixed ONLINE,Tanzen,"Sonntag, 17. März 2024",,Online,Schönheitstanz Studio,https://www.eversports.de/e/workshop/_kWyZFK,Workshop,,"Twerk Mixed ONLINE Twerking ist ein alter westafrikanischer Tanz, der Ähnlichkeiten zum „Mapouka Dance“ aus der Cote D`Ivoire aufweist. Ähnlich wie andere afro-karibische Tänze, ist dieser Tanz ein Ausdruck des Widerstandes gegen männliche Vorgaben zur weiblichen Sexualität. Ursprünglich wurde Twerking zu afrikanischer Musik getanzt. Mittlerweile sind es Musikrichtungen wie Bounce/Crunk, Hip Hop and Trap Music. Der Begriff des „Twerking“ wurde erstmalig 1993 benutzt, als dieser Tanzstil über die Videos von Beyoncé, Rihanna oder Nicki Minaj Einzug in die Musik- und Unterhaltungsindustrie hielt. Dieser Kurs ist der perfekte Aufbau-Kurs zum Basic Workshop und für alle Ladies, die bereits Vorerfahrung im Twerking gesammelt haben. In diesem Workshop vertieft Becky* mit Euch die Grundtechniken , zeigt und übt neue Moves und stellt mit Euch die ersten tänzerischen Kombinationen zusammen. Unser neues, monatliches „Best of booty dance“ Knieschoner werden von uns gestellt, alles war Du mitbringen musst sind Deine Sneakers/Sportschuhe and your beautiful self – wir freuen uns. Hinweis: kein Anfänger-Kurs. Geeignet nach Absolvierung des Basic Kurses oder mit anderweitiger Twerking Vorerfahrung.",,13:45 - 14:45
Burlesque mit Hurricane Irina: All things Boa,Burlesque,"Sonntag, 17. März 2024",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/QPoxv4i,Workshop,,"Die Federboa ist das glamouröseste Burlesque-Accessoire! Hurricane Irina zeigt, wie die Verführung mit einer flauschigen Federboa perfekt gelingt. In diesem Kurs erlernst du eine Choreografie, einschließlich Floorwork, die sich auf das Spiel mit Boa konzentriert.",,15:00 - 17:00
Lap Dance & Strip 'n' Tease Workshop,Lapdance,"Sonntag, 17. März 2024",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/3yk1t8C,Workshop,,"Lap Dance & Strip 'n' Tease Workshop Im ersten Lap Dance Workshop erlernt Ihr nicht nur Eure erste verführerische Choreographie, sondern bekommt auch wertvolle Tipps für eine private Performance in den eigenen vier Wänden. Wir starten den Workshop nach einer kurzen theoretischen Einführung in die Thematik mit einem Auflockerungs-Warm up, das Euch bereits an die wichtigen Elemente und Bewegungen heranführt. Danach geht es mit der Lap Dance Choreographie weiter. Alle Teilnehmerinnen können das Ergebnis gerne filmisch festhalten. Nach zwei Stunden Tanz kommen wir zu den „Striptease-Techniken“. Wer einen Lap Dance mit einem Striptease verbinden möchte, bekommt hier genau gezeigt, wie das funktioniert und wie Ihr es in die gerade erlernte Choreographie einbauen könntet. Ohne tatsächlich die Hüllen fallen zu lassen, werden Euch die Techniken der Ausziehkunst näher gebracht. Ferner widmen wir uns in dieser Stunde auch folgenden Fragen: Was bedeutet es zu „Teasen“? Und wie lässt sich das „Teasen“ mit der Choreographie verbinden? Und welche Kleidung eignet sich am Besten für einen „Striptease“? Dauer: 3 Stunden",,18:30 - 21:30
Lap Dance & Strip 'n' Tease Online Workshop,Lapdance,"Sonntag, 17. März 2024",,Online,Schönheitstanz Studio,https://www.eversports.de/e/workshop/kVDtH76,Workshop,,"Lap Dance & Strip 'n' Tease Workshop  Im ersten Lap Dance Workshop erlernt Ihr nicht nur Eure erste verführerische Choreographie, sondern bekommt auch wertvolle Tipps für eine private Performance in den eigenen vier Wänden. Wir starten den Workshop nach einer kurzen theoretischen Einführung in die Thematik mit einem Auflockerungs-Warm up, das Euch bereits an die wichtigen Elemente und Bewegungen heranführt. Danach geht es mit der Lap Dance Choreographie weiter. Alle Teilnehmerinnen können das Ergebnis gerne filmisch festhalten. Nach zwei Stunden Tanz kommen wir zu den „Striptease-Techniken“. Wer einen Lap Dance mit einem Striptease verbinden möchte, bekommt hier genau gezeigt, wie das funktioniert und wie Ihr es in die gerade erlernte Choreographie einbauen könntet. Ohne tatsächlich die Hüllen fallen zu lassen, werden Euch die Techniken der Ausziehkunst näher gebracht. Ferner widmen wir uns in dieser Stunde auch folgenden Fragen: Was bedeutet es zu „Teasen“? Und wie lässt sich das „Teasen“ mit der Choreographie verbinden? Und welche Kleidung eignet sich am Besten für einen „Striptease“? Dauer: 2 Stunden",,19:00 - 21:30
Love on Heels - High Heel Walk & Selbstbewusstseins Workshop mit Harpy Fatale,Tanzen,"Samstag, 23. März 2024",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/4egslRX,Workshop,,"Harpy Fatale präsentiert den ultimativen Selfcare Workshop - Love on Heels. Bringt eure High Heels oder kommt in eurem Wohlfühl-Outfit. Lasst euch begeistern von heißer Musik & Bewegungen, die das Feuer in eure Augen zaubert. Erfahrungen, Alter und Fitness sind keine Voraussetzungen! Kommt vorbei und lass uns gemeinsam Spaß haben am Tanzen! Harpy Fatale ist eine neue Gastrainerin von uns. Sie unterrichtet professionell in den folgenden Tanzstilen: Latein, Standard, Contemporary, Jazz, Ballett (nur Beginners), Modern, Diva (Tanzen auf Heels, Burlesque und Choreografie für Projekte, Shows, etc. Mehr Infos zu Harpy: www.instagram.com/harpyfatale",,12:30 - 14:30
Pole Dance Oster Special mit Gem ab Mittelstufe ONLINE,Poledance,"Samstag, 23. März 2024",,Online,Schönheitstanz Studio,https://www.eversports.de/e/workshop/z-U6Pgj,Workshop,,"Hier handelt es sich um die Onlineübertragung des Live Kurses! Ihr möchtet mehr frühlingshafte Stimmung in Eure Pole Dance Choreographie zaubern? Unsere Gem ist ein kompletter Profi darin und zaubert zum feierlichen Anlass einen speziellen Kurs. Ab Mittelstufe geeignet. Bunte, fröhliche, Frühlings- und Osternaccessoires und/ oder Kostüm sind sehr willkommen. HAPPY EASTER everybody -)",,16:45 - 18:45
Pole Dance Anfänger 2 Kurs,Poledance,"Beginnt am Samstag, 23. März 2024",,Einzelticket,Schönheitstanz Studio,https://www.eversports.de/e/workshop/UYgHVwy,Workshop,,"Pole Dance Anfänger 2 Kurs Pole Dance Intensivkurs am Wochenende mit dem Schönheitstanz Wohlfühl – Service In vier vollen Stunden (einem vollständigen Kurs) lernst Du eine zusammenhängende Choreographie, welche sich aus den unterschiedlichen Elementen des Pole Dance zusammensetzt. Unsere Kursgruppen sind sehr klein (max. sechs Frauen) und wir bieten während der Kurse nicht-alkoholische Getränke sowie, am Ende eines Kurses, Sekt zur Feier des Tages an. Außerdem stellen wir alle wichtigen Hilfsmittel bereit, die Ihr für den Stangenunterricht braucht. Auch für kleine Snacks ist gesorgt. Ihr müsst also nichts mitbringen außer Euch und Eure Pole Dance Kleidung. Pole Dance Anfänger Level – drei Kurse: Die ersten drei Kurse des Pole Dance Anfänger Levels sind dafür vorgesehen, die Tanzstange nicht als ein Hindernis zu betrachten, sondern eher als ein lohnendes Zubehör zum Tanzen. Hier werden die Basics an und mit der Stange eingeübt, wie das elegante Laufen, einfache Figuren, Klettern an der Stange und Drehungen.",,"Charitestraße 4, 10117 Berlin"
Pole Dance Oster Special mit Gem für Fortgeschrittene ONLINE,Poledance,"Samstag, 23. März 2024",,Online,Schönheitstanz Studio,https://www.eversports.de/e/workshop/oDQ2eUd,Workshop,,"Hier handelt es sich um die Online- Übertragung des Live Kurses! Ihr möchtet mehr frühlingshafte Stimmung in Eure Pole Dance Choreographie zaubern? Unsere Gem ist ein kompletter Profi darin und zaubert zum feierlichen Anlass einen speziellen Kurs. Ab Fortgeschrittenen-Level geeignet. Bunte, fröhliche, Frühlings- und Osternaccessoires und/ oder Kostüm sind sehr willkommen. HAPPY EASTER everybody -)",,19:00 - 21:00
"Burlesque-Workshop ""sexy Floorwork"" mit Tania Giovo",Burlesque,"Sonntag, 24. März 2024",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/E4i5NUb,Workshop,,"Tania Grovio is a dancer, aerialist, Circus, Cabaret and Burlesque performer in Berlin. She is part of various collectives such as House of Lunacy, Weisse Mause and the König Dragshow.  How she describes her Workshop: I really love perpetuating a fun, all inclusive and body positive atmosphere. My goal is always to create an environment where my students feel comfortable to explore. All bodies and genders are welcome and no previous experience is required. We will be exploring Burlesque and the wonderful world of sexy floor work. We will start with a good warm up and end with some sensual choreography that you can take home to show that special someone. Come wearing something that is easy to move in and makes you feel comfortable and sexy. Maybe a layer or two to take off. The ultimate goal is to leave feeling yourself in a way you never thought you could. Der Kurs findet in englischer Sprache statt und ist für alle Level geeignet",,13:45 - 15:45
Burlesque mit Harpy Fatale,Burlesque,"Sonntag, 24. März 2024",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/YpJqTDS,Workshop,,"Einige von euch durften Harpy schon im Highheels-Workshop kennengelernt haben.Nun bietet sie in ihrem einzigartigen Stil und Charme auch einen Burlesque Workshop an. Der Workshop ist für alle Level geeignet. Ihr lernt kleinere Choreos, aber vor allem steht das Thema Selbstliebe im Vordergrund. Harpy wird mit Euch nicht nur an Eurem Auftreten und Eurer Ausstrahlung arbeiten, sondern Eure innere Diva erwecken und zum Strahlen bringen. Bringt eure High Heels und Lieblings-Burlesque-Outfit mit und lasst euch begeistern von heißer Musik & Bewegungen, die das Feuer in eure Augen zaubert.Erfahrungen, Alter und Fitness sind keine Voraussetzungen! Kommt vorbei und lasst uns gemeinsam Spaß haben am Tanzen! Burlesque mit Harpy Fatale ist ein MUST HA!VE! Harpy Fatale unterrichtet professionell in den folgenden Tanzstilen: Latein, Standard, Contemporary, Jazz, Ballett (nur Beginners), Modern, Diva (Tanzen auf Heels, Burlesque und Choreografie für Projekte, Shows), etc.Mehr Infos zu Harpy: www.instagram.com/harpyfatale Bitte achtet darauf, tanzgerechte Kleidung zu tragen, in der Ihr euch wohl fühlt, aber auch gut bewegen könnt.",,18:00 - 20:00
Pole Dance Mittelstufe 3 zweistündig  Teil 2,Poledance,"Freitag, 29. März 2024",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/SX0FzGK,Workshop,,"Unsere Kursgruppen sind sehr klein (max. sechs Frauen) und wir bieten während der Kurse nicht-alkoholische Getränke sowie, am Ende eines Kurses, Sekt zur Feier des Tages an. Außerdem stellen wir alle wichtigen Hilfsmittel bereit, die Ihr für den Stangenunterricht braucht. Auch für kleine Snacks ist gesorgt. Ihr müsst also nichts mitbringen außer Euch und Eure Pole Dance Kleidung.",,11:30 - 13:30
Exotic Dance Basics mit Agata ONLINE,Tanzen,"Sonntag, 31. März 2024",,Online,Schönheitstanz Studio,https://www.eversports.de/e/workshop/7uJPxgC,Workshop,,"Der perfekte Kurs für alle Neueinsteigerinnen, für Damen die sich noch für keine Stilrichtung festlegen möchten oder diejenigen, die ein „Best of“ erleben möchten. Natürlich auch für alle unsere lieben Damen, die etwas Neues ausprobieren wollen. Level: Komplette Anfängerinnen & Lap Dance Teilnehmerinnen, die gern alle grundlegenden, sinnlichen Moves intensiver einüben und wiederholen wollen und ihren neuen, verführerischen Charakter entdecken möchten.",,19:00 - 21:00
Exotic Dance Basics mit Agata,Tanzen,"Sonntag, 31. März 2024",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/82dGR1f,Workshop,,"Der perfekte Kurs für alle Neueinsteigerinnen, für Damen die sich noch für keine Stilrichtung festlegen möchten oder diejenigen, die ein „Best of“ erleben möchten. Natürlich auch für alle unsere lieben Damen, die etwas Neues ausprobieren wollen. Level: Komplette Anfängerinnen & Lap Dance Teilnehmerinnen, die gern alle grundlegenden, sinnlichen Moves intensiver einüben und wiederholen wollen und ihren neuen, verführerischen Charakter entdecken möchten.",,19:00 - 21:00
Pole Dance Fortgeschrittene 1 Kurs,Poledance,"Beginnt am Samstag, 6. April 2024",,Einzelticket,Schönheitstanz Studio,https://www.eversports.de/e/workshop/kc1ALJw,Workshop,,"Pole Dance Intensivkurs am Wochenende mit dem Schönheitstanz Wohlfühl – Service In vier vollen Stunden (einem vollständigen Kurs) lernst Du eine zusammenhängende Choreographie, welche sich aus den unterschiedlichen Elementen des Pole Dance zusammensetzt. Unsere Kursgruppen sind sehr klein (max. sechs Frauen) und wir bieten während der Kurse nicht-alkoholische Getränke sowie, am Ende eines Kurses, Sekt zur Feier des Tages an. Außerdem stellen wir alle wichtigen Hilfsmittel bereit, die Ihr für den Stangenunterricht braucht. Auch für kleine Snacks ist gesorgt. Ihr müsst also nichts mitbringen außer Euch und Eure Pole Dance Kleidung.",,"Charitestraße 4, 10117 Berlin"
Pole Dance Anfänger 1 Kurs,Poledance,"Beginnt am Samstag, 6. April 2024",,Einzelticket,Schönheitstanz Studio,https://www.eversports.de/e/workshop/pDjMaOI,Workshop,,"Pole Dance Intensivkurs am Wochenende mit dem Schönheitstanz Wohlfühl – Service In vier vollen Stunden (einem vollständigen Kurs) lernst Du eine zusammenhängende Choreographie, welche sich aus den unterschiedlichen Elementen des Pole Dance zusammensetzt. Unsere Kursgruppen sind sehr klein (max. sechs Frauen) und wir bieten während der Kurse nicht-alkoholische Getränke sowie, am Ende eines Kurses, Sekt zur Feier des Tages an. Außerdem stellen wir alle wichtigen Hilfsmittel bereit, die Ihr für den Stangenunterricht braucht. Auch für kleine Snacks ist gesorgt. Ihr müsst also nichts mitbringen außer Euch und Eure Pole Dance Kleidung. Pole Dance Anfänger Level – drei Kurse: Die ersten drei Kurse des Pole Dance Anfänger Levels sind dafür vorgesehen, die Tanzstange nicht als ein Hindernis zu betrachten, sondern eher als ein lohnendes Zubehör zum Tanzen. Hier werden die Basics an und mit der Stange eingeübt, wie das elegante Laufen, einfache Figuren, Klettern an der Stange und Drehungen.",,"Charitestraße 4, 10117 Berlin"
Burlesque Anfängerworkshop mit Lady Lou,Burlesque,"Beginnt am Samstag, 6. April 2024",,Einzelticket,Schönheitstanz Studio,https://www.eversports.de/e/workshop/xUJF8zC,Workshop,,"Burlesque ist eine klassische Form des erotischen Tanzes, die den Striptease mit – oftmals humorvollem – Unterhaltungstheater verbindet. In Stil und Kostümen knüpft die neue Form des Burlesque an die 1920er bis 1960er Jahre an und verbindet diese mit modernen Elementen. Du wolltest Dich schon immer wie eine Diva fühlen, mit Make up experimentieren, in eine neue Rolle schlüpfen und einfach jeglichen Ernst des Alltags ablegen? In diesem Fall ist es Zeit, den Alltagstrott zu vergessen und Dein inneres Showgirl zu entdecken. Gewinne ein ganz neues Körpergefühl und lerne Deinen Körper zu lieben, so wie er ist. Burlesque bietet Raum für alle Frauentypen. Ja sie sind sogar gewünscht, da es so viele Möglichkeiten gibt, die verschiedenen Frauen- und Körpertypen zu präsentieren. In unseren Burlesque Kursen lernst Du, Deine Schokoladenseite zu präsentieren und andere Stellen spielerisch zu kaschieren. Also trau Dich und besuche einen unserer Burlesque Kurse im Schönheitstanz Berlin Studio.",,"Charitestraße 4, 10117 Berlin"
Burlesque Mittelstufenworkshop mit Lady Lou,Burlesque,"Beginnt am Samstag, 6. April 2024",,Einzelticket,Schönheitstanz Studio,https://www.eversports.de/e/workshop/kbdX4s8,Workshop,,"Burlesque Mittelstufenworkshop mit Lady Lou Dieser Kurs baut auf dem Burlesque Anfängerkurs auf. Aus diesem Grund ist dieser Kurs für alle Burlesque Fans geeignet, die bereits Lady Lous Anfängerworkshop absolviert haben oder Vorkenntnisse besitzen. Auf vergnügliche Weise vertieft Ihr die bereits im ersten Kurs gemachten Erfahrungen und lernt neue verführerische Tanztechniken dazu. Lady Lou bringt Euch unter anderem die “Bump and Grind” Technik sowie das Tanzen mit Accessoires (Federfächer, Boa, Handschuhe, Stuhltanz…) und die unterschiedliche Darstellung der klassischen Rollen: “Vamp” oder “Diva” bei. Du erlernst zwei neue Choreographien. Alle Tanzaccessoires stellt das Studio zur Verfügung. Mitzubringen sind (the following items can be in any style, you choose!):",,"Charitestraße 4, 10117 Berlin"
Twerk Basics Online,Tanzen,"Sonntag, 14. April 2024",,"Diese Aktivität wird im Online Stream übertragen. Um teilzunehmen, folge diesen Schritten:",Schönheitstanz Studio,https://www.eversports.de/e/workshop/6mBM935,Workshop,,"Twerking ist ein alter westafrikanischer Tanz, der Ähnlichkeiten zum „Mapouka Dance“ aus Cote D`Ivoire aufweist. Ähnlich wie andere afro-karibische Tänze, ist dieser Tanz ein Ausdruck des Widerstandes gegen männliche Vorgaben zur weiblichen Sexualität. Ursprünglich wurde Twerking zu afrikanischer Musik getanzt. Mittlerweile sind es Musikrichtungen wie Bounce/Crunk, Hip Hop and Trap Music. Der Begriff des „Twerking“ wurde erstmalig 1993 benutzt, als dieser Tanzstil über die Videos von Beyoncé, Rihanna oder Nicki Minaj Einzug in die Musik- und Unterhaltungsindustrie hielt. In der Workshopserie „Booty Dance / Twerk“ mit Becky* steht zunächst die Technik im Vordergrund – getanzt werden daher zu Beginn noch keine Choreographien, sondern wir beschäftigen uns erstmals mit der richtigen Ausführung und dem Erlernen der Grundbewegungen.",,13:45 - 14:45
Twerk Basics,Tanzen,"Sonntag, 14. April 2024",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/dM4ofSw,Workshop,,"Twerking ist ein alter westafrikanischer Tanz, der Ähnlichkeiten zum „Mapouka Dance“ aus Cote D`Ivoire aufweist. Ähnlich wie andere afro-karibische Tänze, ist dieser Tanz ein Ausdruck des Widerstandes gegen männliche Vorgaben zur weiblichen Sexualität. Ursprünglich wurde Twerking zu afrikanischer Musik getanzt. Mittlerweile sind es Musikrichtungen wie Bounce/Crunk, Hip Hop and Trap Music. Der Begriff des „Twerking“ wurde erstmalig 1993 benutzt, als dieser Tanzstil über die Videos von Beyoncé, Rihanna oder Nicki Minaj Einzug in die Musik- und Unterhaltungsindustrie hielt. In der Workshopserie „Booty Dance / Twerk“ mit Becky* steht zunächst die Technik im Vordergrund – getanzt werden daher zu Beginn noch keine Choreographien, sondern wir beschäftigen uns erstmals mit der richtigen Ausführung und dem Erlernen der Grundbewegungen.",,13:45 - 14:45
Pole on Heels mit Becky*,Poledance,"Sonntag, 14. April 2024",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/JrWOpd8,Workshop,,"Pole on Heels mit Becky* Diesen Workshop können alle besuchen, die Lust auf eine sinnliche Choreographie, sinnliche Bewegungen auf High Heels und an der Pole haben.",,15:00 - 16:00
Pole on Heels mit Becky* ONLINE,Poledance,"Sonntag, 14. April 2024",,Online,Schönheitstanz Studio,https://www.eversports.de/e/workshop/HuJXYjp,Workshop,,"Pole on Heels mit Becky* Diesen Workshop können alle besuchen, die Lust auf eine sinnliche Choreographie, sinnliche Bewegungen auf High Heels und an der Pole haben.",,15:00 - 16:00
Fortgeschrittenen-Special: Pole Dance-Workshop mit Becky* ONLINE,Poledance,"Sonntag, 14. April 2024",,Online,Schönheitstanz Studio,https://www.eversports.de/e/workshop/qTXcBEW,Workshop,,Becky´s Workshops konzentrieren sich auf neue Kombinationen und eine kleine Choreographie. Eine wundervolle Ergänzung und Bereicherung zu unserem gewohnten Programm.,,16:00 - 17:00
Fortgeschrittenen-Special: Pole Dance-Workshop mit Becky*,Poledance,"Sonntag, 14. April 2024",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/vjA1U6h,Workshop,,Becky´s Workshops konzentrieren sich auf neue Kombinationen und eine kleine Choreographie. Eine wundervolle Ergänzung und Bereicherung zu unserem gewohnten Programm.,,16:00 - 17:00
Belly Dance mit Santina,Tanzen,"Sonntag, 14. April 2024",,"Charitestraße 4, 10117 Berlin",Schönheitstanz Studio,https://www.eversports.de/e/workshop/xIkSUW3,Workshop,,"Seit über 18 Jahren liebt und tanzt Santina den orientalischen Tanz, neben Ausflüge in andere Tanzrichtungen, schlägt ihr Herz voallem dafür. Sie bildet sich regelmäßig bei nationalen und internationalen Dozenten *innen fort, bietet Shows für bekannte Firmen an und tanzt seit Jahren im Ensemble und Duett. Neben einem Pädagogik Hochschulstudium, eine Ausbildung in einem Gesundheitsfachberuf, erlangte Santina vor über 10 Jahren ihren Abschluss zur Tanzpädagogin. Kursbeschreibung Körperwahrnehmung, Koordination, Isolation, Kräftigung sind einige der Ziele dieses Kurses. An erster Stelle steht aber die Verbindung zum eigenen Körper, das Spüren der Weiblichkeit durch die Kraft des Beckens, die Verbindung mit der Musik und vorallem die Freude und Lebenslust. Wir fangen mit einem Warm Up an, erarbeiten grundlegende Elemente des orientalischen Tanzes, verbinden diese in einer Choreographie und beenden die 90 Minuten mit einem Streching. Dieser Kurs richtet sich an Teilnehmer *innen mit keinen oder geringen Kenntnissen, Teilnahme auch in Englisch möglich. Was unbedingt mitgebrachten werden sollte sind Neugier, Lust und Spaß am Tanzen. Ich freue mich auf euch! Eure Santina",,17:30 - 19:00
Bedroom Burlesque mit Lady Lou THEMA: tba. ONLINE,Burlesque,"Samstag, 20. April 2024",,Online,Schönheitstanz Studio,https://www.eversports.de/e/workshop/oCv_Dwa,Workshop,,"Lady Lou bringt Burlesque in Eure Schlafzimmer! Hier lernt Ihr, wie Ihr verführerisch Burlesque für eure Partner tanzt – oder für Euch selbst. „Bedroom Burlesque“ hat zum Ziel, Euch fabelhaft feminin und absolut hinreißend zu fühlen. In diesem Workshop lernt Ihr, wie man klassische Burlesque Moves, glamouröse Kostüme, luxuriöse Sextoys und softes Bondage zu einer ganz eigenen, unvergesslichen Privatvorstellung kombiniert. Wir erforschen Eure Fantasien und hauchen ihnen Leben ein! In jedem Schlafzimmer schlummert eine Burlesque Diva, die nur darauf wartet entdeckt zu werden!",,19:30 - 21:30
